Fact #,Description,Study Population,Form & Dose,Study Title,Authors,Journal,Year,Result / Data,Link
1,Saffron vs Placebo for Depression – Saffron was tested against placebo in treating mild-to-moderate major depression.,40 adult outpatients with MDD (DSM-IV),Saffron stigma extract 30,mg/day (15,mg BID),"Crocus sativus L. in the treatment of mild to moderate depression: a double-blind, randomized and placebo-controlled trial",Akhondzadeh S. et al.,Phytother Res,"2005	After 6 weeks, saffron produced significantly greater improvement in depression scores than placebo (e.g. HAM-D score reduction; F=18.89, p<0.001) 	. No significant difference in side effects versus placebo 	."
2,Saffron vs Fluoxetine for Depression – A head-to-head trial comparing saffron with an SSRI (fluoxetine) in depression.,40 adults with mild-to-moderate depression,Saffron stigma extract 30,mg/day vs fluoxetine 20,mg/day (6 weeks),Hydro-alcoholic extract of Crocus sativus L. versus fluoxetine in the treatment of mild to moderate depression: a pilot double-blind randomized trial,Noorbala A.A. et al.,J Ethnopharmacol,"2005	Saffron’s antidepressant efficacy was statistically equivalent to fluoxetine. Depression severity dropped similarly in both groups (no significant difference in HAM-D score improvement; F=0.13, p=0.71) 	, indicating that 30	mg saffron daily was as effective as 20	mg fluoxetine."
3,Saffron vs Imipramine for Depression – Saffron was compared to a tricyclic antidepressant (imipramine) in depressed patients.,30 adult outpatients with MDD (HDRS≥18),Saffron stigma extract 30,mg/day vs imipramine 100,mg/day (6 weeks),Comparison of Crocus sativus L. and imipramine in the treatment of mild to moderate depression: a pilot double-blind randomized trial,Akhondzadeh S. et al.,BMC Complement Altern Med,"2004	Saffron 30	mg/day was found to be as effective as imipramine 100	mg in reducing depression symptoms (no significant difference in HAM-D score improvement; p=0.09) 	. Imipramine caused more anticholinergic side effects (e.g. dry mouth, sedation) whereas saffron was better tolerated 	."
4,Saffron vs SSRI in Postpartum Depression – Assessed saffron as an alternative to fluoxetine for postpartum depression.,68 women (age 18–45) with mild-to-moderate postpartum depression,Saffron stigma extract 30,mg/day vs fluoxetine 40,mg/day (6 weeks),"Comparison of Saffron versus Fluoxetine in Treatment of Mild to Moderate Postpartum Depression: A Double-Blind, Randomized Clinical Trial",Kashani L. et al.,Pharmacopsychiatry,"2017	Saffron was non-inferior to fluoxetine. After 6 weeks, 40.6% of the saffron group vs 50% of the fluoxetine group achieved ≥50% reduction in depression score (HDRS), with no significant difference between groups (p=0.61) 	. Saffron produced similar symptom relief to the SSRI without additional adverse events 	."
5,Saffron vs Sertraline in Geriatric Depression – Evaluated saffron against an SSRI in older patients.,54 older adults (mean ~65 y) with major depression (DSM-5),Saffron extract 60,mg/day vs sertraline 100,mg/day (6 weeks),"Crocus sativus L. (saffron) versus sertraline on symptoms of depression among older people… – a double-blind, randomized intervention study",Ahmadpanah M. et al.,Psychiatry Res,"2019	Depression scores improved significantly over 6 weeks in both the saffron and sertraline groups, with no difference between them 	. Saffron (60	mg) was as effective as sertraline (100	mg) in reducing depressive symptoms in older patients 	, highlighting saffron’s potential as an alternative antidepressant in the elderly."
11,Appetite & Weight Management – Trial of a proprietary saffron extract on snacking and weight.,60 healthy overweight women (BMI 25–30),Saffron extract (“Satiereal®”) 176.5,mg/day (split dose) vs placebo (8 weeks),"Satiereal, a Crocus sativus L. extract, reduces snacking and increases satiety…",Gout B. et al.,Nutr Res,2010,"Saffron supplementation produced a reduction in between-meal snacking and modest weight loss relative to placebo. Over 8 weeks, the saffron group reported significantly fewer snack cravings and had a greater decrease in body weight (–1.1	kg vs –0.4	kg in placebo, p<0.05) 	. The authors attribute this to saffron’s mood-elevating effect leading to reduced urge to snack 	."
12,Sleep Quality Improvement – Clinical trial evaluating subjective sleep outcomes.,120 adults with poor sleep (insomnia complaints),Saffron extract (affron®) 14,mg or 28,mg 1 hour before bed,An investigation into an evening intake of saffron extract on sleep quality…,Lopresti A.L. et al.,Sleep Med,"2021	Sleep quality improved significantly with saffron. After 4 weeks, the saffron group had greater improvements in self-rated sleep quality (primary outcome) than placebo (p<0.05) 	. Insomnia symptoms (ISQ scores) and morning mood also improved more in the saffron groups 	. No differences were noted between 14	mg vs 28	mg doses, indicating even low-dose saffron enhanced sleep without adverse effects 	."
13,Cognitive Performance in Alzheimer’s (vs Placebo) – Saffron as a treatment for mild-to-moderate Alzheimer’s disease.,46 adults with mild/moderate Alzheimer’s disease (MMSE ~20),Saffron stigma capsules 30,mg/day vs placebo (16 weeks),"Saffron in the treatment of patients with mild to moderate Alzheimer’s disease: a 16-week, randomized and placebo-controlled trial",Akhondzadeh S. et al.,J Clin Pharm Ther,2010,"Saffron produced significantly better cognitive outcomes than placebo. Over 16 weeks, saffron-treated patients had greater improvement (or less decline) in ADAS-Cog scores than placebo (F=4.12, p=0.04) 	. Global functioning (CDR score) also improved more with saffron (p=0.04). No difference in observed adverse events was found vs placebo 	, suggesting saffron’s cognitive benefits in AD without added risk."
14,Saffron vs Donepezil for Alzheimer’s – Comparative efficacy trial of saffron against a standard Alzheimer’s medication.,54 patients with mild-to-moderate Alzheimer’s disease,Saffron stigma extract 30,mg/day vs donepezil 10,mg/day (22 weeks),"A 22-week, multicenter, randomized, double-blind controlled trial of Crocus sativus in the treatment of mild-to-moderate Alzheimer’s disease",Akhondzadeh S. et al.,Psychopharmacology (Berl),"2010	Saffron was as effective as donepezil in treating cognitive symptoms of Alzheimer’s. After 22 weeks, there was no significant difference in ADAS-Cog or CDR scores between saffron and donepezil groups (both showed similar improvements) 	. Importantly, saffron caused fewer side effects – e.g., vomiting occurred more often with donepezil (p<0.05) 	 – indicating comparable efficacy with better tolerability."
15,SSRI-Induced Sexual Dysfunction (Men) – Saffron for antidepressant-related erectile dysfunction in males.,36 married men with fluoxetine-induced sexual dysfunction (on stable SSRI therapy),Saffron stigma 30,mg/day (15,mg BID) vs placebo (4 weeks),Effect of saffron on fluoxetine-induced sexual impairment in men: randomized double-blind placebo-controlled trial,Modabbernia A. et al.,Psychopharmacology (Berl),"2012	Saffron significantly improved erectile function and sexual satisfaction compared to placebo. By week 4, men receiving saffron had a greater increase in erectile function scores (IIEF) – 60% achieved normal erectile function vs only 7% in the placebo group (p=0.005) 	. Intercourse satisfaction and overall IIEF total score also improved more with saffron (p<0.001 vs placebo) 	. Side effect frequency did not differ from placebo 	."
